ID,group,time,entativity,similarity,trust,IOS,Language,,entativity,similarity,trust,IOS,entativity,similarity,trust,IOS
1,synchronous song,pre-intervention,2,3,2,4,NZEnglish,GC,66,70,66,36,76,72,79,34
2,synchronous song,pre-intervention,4,5,5,5,NZEnglish,GC,100,76,77,51,100,93,99,70
3,synchronous song,pre-intervention,2,3,4,4,NZEnglish,GC,72,45,72,32,64,54,74,70
4,synchronous song,pre-intervention,1,5,5,2,NZEnglish,GS,100,68,100,50,100,35,100,15
5,asynchronous speech,pre-intervention,2,3,3,4,NZEnglish,GS,61,15,42,30,62,25,48,52
6,asynchronous speech,pre-intervention,5,5,5,5,NZEnglish,GS,97,50,50,52,98,50,50,49
7,asynchronous speech,pre-intervention,2,3,4,3,NZEnglish,GS,37,0,43,21,50,20,61,33
8,asynchronous speech,pre-intervention,2,5,5,2,Maori,GC,66,73,96,51,81,84,89,71
1,synchronous song,post-intervention,4,5,5,5,Maori,GC,57,73,72,31,53,57,61,55
2,synchronous song,post-intervention,6,6,5,5,Maori,GC,95,100,100,55,100,100,100,100
3,synchronous song,post-intervention,5,3,4,5,Maori,GC,77,31,50,49,73,30,76,52
4,synchronous song,post-intervention,5,6,6,6,Maori,GC,56,50,66,14,58,55,64,15
5,asynchronous speech,post-intervention,5,5,5,5,Maori,GC,59,37,36,24,65,64,84,50
6,asynchronous speech,post-intervention,6,6,6,5,Maori,GS,100,32,100,34,100,82,100,82
7,asynchronous speech,post-intervention,4,3,4,5,Maori,GS,60,17,53,43,67,35,56,55
8,asynchronous speech,post-intervention,4,3,4,3,Maori,GS,85,25,74,51,100,86,87,49
9,asynchronous song,pre-intervention,2,3,2,3,English,GS,53,53,100,18,45,43,47,51
10,asynchronous song,pre-intervention,4,5,4,5,English,GS,60,50,50,33,60,60,30,34
11,asynchronous song,pre-intervention,2,4,4,4,English,GS,50,50,65,35,64,64,72,76
12,asynchronous song,pre-intervention,1,4,5,2,English,GS,60,60,60,32,83,92,90,73
13,synchronous speech,pre-intervention,4,3,2,3,English,GS,70,21,50,22,73,24,78,37
14,synchronous speech,pre-intervention,5,5,4,5,English,GS,10,60,60,5,20,70,50,51
15,synchronous speech,pre-intervention,2,4,3,4,English,GS,51,27,100,47,73,23,73,82
16,synchronous speech,pre-intervention,1,4,5,3,English,GR,59,68,74,51,68,67,72,62
9,asynchronous song,post-intervention,4,5,5,4,English,GR,49,25,25,28,57,47,29,47
10,asynchronous song,post-intervention,6,5,5,5,English,GR,81,84,85,52,82,86,81,49
11,asynchronous song,post-intervention,4,3,4,5,English,GC,26,28,27,24,17,15,22,28
12,asynchronous song,post-intervention,5,6,6,5,English,NV,63,52,54,21,64,53,62,29
13,synchronous speech,post-intervention,4,5,4,4,English,NV,6,5,11,9,7,9,12,13
14,synchronous speech,post-intervention,5,5,5,5,English,GR,66,35,61,28,30,11,58,16
15,synchronous speech,post-intervention,4,3,5,4,English,GC,35,2,67,6,70,15,63,50
16,synchronous speech,post-intervention,5,5,6,5,English,GC,66,50,50,27,76,57,77,36
,,,,,,,English,NV,75,70,80,50,75,80,80,50
,,,,,,,English,NV,100,100,100,100,63,60,57,100
,,,,,,,English,NV,59,89,82,77,63,82,80,69
