StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q39,Q1a,Q1b,Q1b_5_TEXT,Q1c,Q1d,Q1e,Q1f,Q1g_1,Q1g_2,Q1g_5,Q1g_6,Q1g_7,Q1g_8,Q1g_9,Q1g_10,Q1g_11,Q1g_12,Q1g_13,Q1h,Q1i_1,Q1i_2,Q1i_3,Q1i_4,Q1i_5,Q1i_9,Q1i_10,Q1i_11,Q1i_12,Q1j_1,Q1k_1,Q1k_2,Q1l,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q2a_9,Q2a_10,Q2b_1,Q2c_1,Q2d,Q93_1,Q93_2,Q93_3,Q93_4,Q93_5,Q93_6,Q93_7,Q93_8,Q94_1,Q7b
開始日,終了日,回答タイプ,IPアドレス,進行状況,時間（秒単位）,終了,記録日,回答ID,受信者の姓,受信者の名,受信者のメールアドレス,外部データ参照,位置の緯度,位置の経度,配信のチャンネル,ユーザーの言語,この研究を続けますか。,画面に表示されている 'Group ID' は何ですか。,年齢をご記入ください。,性別を選択してください。 - Selected Choice,性別を選択してください。 - ​​​​​その他（自由説明） - テキスト,あなたの第一言語または母国語は何ですか。,あなたはどの民族/人種グループに属していると感じますか。,この実験を行っている都市と国はどこですか。,あなたはどの都市と国で生まれましたか。,"以下の文にどの程度同意しますか。 - ""私は自分をミュージシャンだと思っている""","以下の文にどの程度同意しますか。 - ""私は音楽パフォーマーとしての才能を褒められたことがある""","以下の文にどの程度同意しますか。 - ""私は他の参加者たちと同じチームにいるように感じる""","以下の文にどの程度同意しますか。 - ""私は他の参加者と似ていると思う""","以下の文にどの程度同意しますか。 - ""私は他の参加者を信頼している""","以下の文にどの程度同意しますか。 - ""私は他の人と一緒に歌うと、居心地が悪くなったり、恥ずかしくなったりする""","以下の文にどの程度同意しますか。 - ""私は他の人と一緒に歌うことが楽しい""","以下の文にどの程度同意しますか。 - ""私は他の人と一緒に歌うことが難しい""","以下の文にどの程度同意しますか。 - ""私は他の人と話すと、居心地が悪くなったり、恥ずかしくなったりする""","以下の文にどの程度同意しますか。 - ""私は他の人と話すことが楽しい""","以下の文にどの程度同意しますか。 - ""私は他の人と話すのが難しい""",グループ内にいる他の参加者うち、今まで何人と会ったり見かけたりしたことがありますか。,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #1,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #2,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #3,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #4,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #5,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #6,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #7,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #8,前の質問に対して0より大きい数を選択した場合、以前に会ったり見かけたりした各参加者をどの程度知っていたか評価してください（必要な人数のみ回答してください）。 - 知っている参加者 #9,他の全ての参加者にどのくらい親しみを感じますか。 - 1,正式な音楽教育（例：歌唱や楽器のレッスン）を何年間受けましたか。 - 歌唱,正式な音楽教育（例：歌唱や楽器のレッスン）を何年間受けましたか。 - 楽器,習った楽器はなんですか。,"以下の文にどの程度同意しますか？ - ""私はこの曲を知っている""","以下の文にどの程度同意しますか？ - ""実験課題は難しかった""","以下の文にどの程度同意しますか？ - ""私は他の参加者を信頼している""","以下の文にどの程度同意しますか？ - ""実験課題は楽しかった""","以下の文にどの程度同意しますか？ - ""私は他の参加者と同じチームにいるように感じる""","以下の文にどの程度同意しますか？ - ""私は実験課題で居心地が悪かったり、恥ずかしい思いをした""","以下の文にどの程度同意しますか？ - ""私は他の参加者と似ていると思う""","以下の文にどの程度同意しますか？ - ""私はしっかりと実験の指示に従った""","以下の文にどの程度同意しますか？ - ""私は他の参加者と同期していた""","以下の文にどの程度同意しますか？ - ""私はこの曲が好きだ""",他のすべての参加者に対して、どのくらい親近感を感じますか。 - 1,参加者全員が、自分の報酬のうち最大１０ドルを、1.5倍して参加者に均等に分配される共同資金に拠出できるとします。拠出額が多ければ多いほど、参加者全員が平均してより多くの金額を受け取ることができますが、拠出額が少なければ少ないほど、最終的にあなた自身が受け取る金額は多くなります。あなたは共同資金にいくら拠出しますか（0ドルから10ドルの範囲で）。 - $ 参加者全員に共有される金額,実験の目的は何だと思いますか、そして結果はどうなると思いますか。,"以下の文にどの程度同意しますか？ - ""実験課題は難しかった""","以下の文にどの程度同意しますか？ - ""私は他の参加者を信頼している""","以下の文にどの程度同意しますか？ - ""実験課題は楽しかった""","以下の文にどの程度同意しますか？ - ""私は他の参加者と同じチームにいるように感じる""","以下の文にどの程度同意しますか？ - ""私は実験課題で居心地が悪かったり、恥ずかしい思いをした""","以下の文にどの程度同意しますか？ - ""私は他の参加者と似ていると思う""s’’","以下の文にどの程度同意しますか？ - ""私はしっかりと実験の指示に従った""","以下の文にどの程度同意しますか？ - ""私は他の参加者と同期していた""",他のすべての参加者に対して、どのくらい親近感を感じますか。 - 1,この研究について何かコメントはありますか。
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID38""}","{""ImportId"":""QID64""}","{""ImportId"":""QID125674256_TEXT""}","{""ImportId"":""QID125674257""}","{""ImportId"":""QID125674257_5_TEXT""}","{""ImportId"":""QID125674258_TEXT""}","{""ImportId"":""QID125674260_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID16_11""}","{""ImportId"":""QID16_12""}","{""ImportId"":""QID16_13""}","{""ImportId"":""QID21""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID49_9""}","{""ImportId"":""QID49_10""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID93_2""}","{""ImportId"":""QID93_3""}","{""ImportId"":""QID93_4""}","{""ImportId"":""QID93_5""}","{""ImportId"":""QID93_6""}","{""ImportId"":""QID93_7""}","{""ImportId"":""QID93_8""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID76_TEXT""}"
2024-04-14 17:47:24,2024-04-14 17:48:01,アンケートプレビュー,,100,36,正,2024-04-14 17:48:02,R_4Eh63cGq5ME2F6x,,,,,-41.2881,174.74,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14 17:48:09,2024-04-14 17:48:42,アンケートプレビュー,,100,33,正,2024-04-14 17:48:44,R_4vf51415hloy4Ys,,,,,-41.2881,174.74,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14 20:19:05,2024-04-14 20:19:35,アンケートプレビュー,,100,29,正,2024-04-14 20:19:36,R_4gzixCNqKXbEwa5,,,,,-41.2881,174.74,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14 20:22:02,2024-04-14 20:22:15,IPアドレス,118.92.209.210,100,13,正,2024-04-14 20:22:15,R_4JkkTzE7DHEXQgJ,,,,,-41.2881,174.74,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15 11:21:50,2024-04-15 11:22:13,IPアドレス,78.132.26.129,100,23,正,2024-04-15 11:22:14,R_7tzBPiLOeicUIeJ,,,,,48.2126,16.3509,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22 16:48:56,2024-04-22 17:05:36,IPアドレス,203.211.74.164,100,999,正,2024-04-22 17:05:36,R_4tNJttTU9wscrD3,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,,1997,ノンバイナリー,,English,"Māori ",Auckland,New Zealand,100,100,,,,,,,,,,2,85,68,27,27,,,,,,33,3-5,10 or more,Vocals and Guitar,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22 20:30:02,2024-04-22 20:33:19,アンケートプレビュー,,100,196,正,2024-04-22 20:33:20,R_4tJwc3B0F8XVXYM,,,,,-41.2881,174.74,preview,EN,はい、研究の質問に進む,,,,,,,,,5,0,,,,,,,,,,0,,,,,,,,,,18,,,,0,0,0,,,,,,,,2,,,,,,,,,,,,
2024-04-21 23:22:18,2024-04-26 04:48:32,IPアドレス,118.92.209.210,100,365174,正,2024-04-26 04:48:33,R_4Id8k449pZNIBcB,,,,,-41.2881,174.74,qr,EN,いいえ、参加を辞退する（違約金は発生しません）,,,回答しない,,,,,,13,0,,,,,,,,,,0,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,
