StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q39,Q1a_1,Q1a_2,Q1a_3,Q1b_1,Q2a_1,Q2a_2,Q2a_3,Q2b_1,Q3a_1,Q3a_2,Q3a_3,Q3b_1,Q4a_1,Q4a_2,Q4a_3,Q4b_1,Q5a_1,Q5a_2,Q5a_3,Q5b_1,Q6a_1,Q6a_2,Q6a_3,Q6b_1,Q7,Q7b_1,Q7b_2,Q7b_3,Q7b_4,Q7b_5,Q7b_9,Q7b_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14,Q14_5_TEXT,Q15,Q16,Q17,Q18,Q19_1,Q19_2,Q20_1,Q20_2,Q21,Q22,Q23
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you wish to proceed with the study?,"What is the ""Group ID"" listed on the screen?","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How close do you feel to all the other participants? - 1,How many  of the other participants in the group have you seen or met before?,"If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #1","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #2","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #3","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #4","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #5","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #6","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #7",How much do you agree with the following statements regarding the GROUP SINGING task? - “The task was difficult’’,How much do you agree with the following statements regarding the GROUP SINGING task? - “The task was enjoyable’’,How much do you agree with the following statements regarding the GROUP SINGING task? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements regarding the GROUP SINGING task? - “I followed the instructions well”,How much do you agree with the following statements regarding the GROUP SINGING task? - “I was synchronized with the other participants”,How much do you agree with the following statements regarding the GROUP CONVERSATION task? - “The task was difficult’’,How much do you agree with the following statements regarding the GROUP CONVERSATION task? - “The task was enjoyable’’,How much do you agree with the following statements regarding the GROUP CONVERSATION task? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements regarding the GROUP CONVERSATION task? - “I followed the instructions well”,How much do you agree with the following statements regarding the GROUP CONVERSATION task? - “I was synchronized with the other participants”,How much do you agree with the following statements regarding the ALTERNATING SINGING task? - “The task was difficult’’,How much do you agree with the following statements regarding the ALTERNATING SINGING task? - “The task was enjoyable’’,How much do you agree with the following statements regarding the ALTERNATING SINGING task? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements regarding the ALTERNATING SINGING task? - “I followed the instructions well”,How much do you agree with the following statements regarding the ALTERNATING SINGING task? - “I was synchronized with the other participants”,How much do you agree with the following statements regarding the GROUP RECITATION task? - “The task was difficult’’,How much do you agree with the following statements regarding the GROUP RECITATION task? - “The task was enjoyable’’,How much do you agree with the following statements regarding the GROUP RECITATION task? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements regarding the GROUP RECITATION task? - “I followed the instructions well”,How much do you agree with the following statements regarding the GROUP RECITATION task? - “I was synchronized with the other participants”,How much do you agree with the following statements regarding the NON-VERBAL GREETING task? - “The task was difficult’’,How much do you agree with the following statements regarding the NON-VERBAL GREETING task? - “The task was enjoyable’’,How much do you agree with the following statements regarding the NON-VERBAL GREETING task? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements regarding the NON-VERBAL GREETING task? - “I followed the instructions well”,How much do you agree with the following statements regarding the NON-VERBAL GREETING task? - “I was synchronized with the other participants”,How old are you?,What is your gender? - Selected Choice,What is your gender? - 5 - Text,What is (are) your 1st/native language(s)?,What ethnic/racial group(s) do you identify as?,Where are you performing this experiment?,Where were you born?,"How much do you agree with the following statements? - ""I consider myself a musician""",How much do you agree with the following statements? - “I have been complimented for my talents as a musical performer.,"How many years of formal musical training (e.g., singing/instrument lessons) have you had? - Singing","How many years of formal musical training (e.g., singing/instrument lessons) have you had? - Musical instruments",I have had training on the following musical instrument(s),"What do you think was the goal of the experiment, and what do you think the results will be?",Do you have any comments regarding the study?
"{""ImportId"":""startDate"",""timeZone"":""Pacific/Auckland""}","{""ImportId"":""endDate"",""timeZone"":""Pacific/Auckland""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Pacific/Auckland""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID38""}","{""ImportId"":""QID64""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID52_3""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_5""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID46_5""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID43_5""}","{""ImportId"":""QID125674256_TEXT""}","{""ImportId"":""QID125674257""}","{""ImportId"":""QID125674257_5_TEXT""}","{""ImportId"":""QID125674258_TEXT""}","{""ImportId"":""QID125674260_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}"
2024-04-15 11:47:24,2024-04-15 11:48:01,Survey Preview,,100,36,True,2024-04-15 11:48:02,R_4Eh63cGq5ME2F6x,,,,,-41.2881,174.74,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15 11:48:09,2024-04-15 11:48:42,Survey Preview,,100,33,True,2024-04-15 11:48:44,R_4vf51415hloy4Ys,,,,,-41.2881,174.74,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15 14:19:05,2024-04-15 14:19:35,Survey Preview,,100,29,True,2024-04-15 14:19:36,R_4gzixCNqKXbEwa5,,,,,-41.2881,174.74,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15 14:22:02,2024-04-15 14:22:15,IP Address,118.92.209.210,100,13,True,2024-04-15 14:22:15,R_4JkkTzE7DHEXQgJ,,,,,-41.2881,174.74,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16 05:21:50,2024-04-16 05:22:13,IP Address,78.132.26.129,100,23,True,2024-04-16 05:22:14,R_7tzBPiLOeicUIeJ,,,,,48.2126,16.3509,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23 10:48:56,2024-04-23 11:05:36,IP Address,203.211.74.164,100,999,True,2024-04-23 11:05:36,R_4tNJttTU9wscrD3,,,,,-36.8506,174.7679,qr,EN,Yes - I want to continue on to the study questions,,45,38,17,33,,,,,,,,,,,,,,,,,,,,,2,85,68,27,27,,,,24,88,60,89,41,,,,,,,,,,,,,,,,,,,,,1997,Non-binary,,English,"Māori ",Auckland,New Zealand,100,100,3-5,10 or more,Vocals and Guitar,,
2024-04-23 14:30:02,2024-04-23 14:33:19,Survey Preview,,100,196,True,2024-04-23 14:33:20,R_4tJwc3B0F8XVXYM,,,,,-41.2881,174.74,preview,EN,Yes - I want to continue on to the study questions,,54,39,21,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5,0,,,,,
2024-04-22 17:22:18,2024-04-26 22:48:32,IP Address,118.92.209.210,100,365174,True,2024-04-26 22:48:33,R_4Id8k449pZNIBcB,,,,,-41.2881,174.74,qr,EN,No - I want to exit the study without penalty,,81,30,51,65,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Prefer not to answer,,,,,,13,0,,,,,
